[2020-11-13 18:32:39,616: ERROR/MainProcess] consumer: Cannot connect to amqp://guest:**@broker:5672//: [Errno 111] Connection refused.
Trying again in 2.00 seconds... (1/100)

[2020-11-13 18:32:41,636: ERROR/MainProcess] consumer: Cannot connect to amqp://guest:**@broker:5672//: [Errno 111] Connection refused.
Trying again in 4.00 seconds... (2/100)

[2020-11-13 18:32:45,664: INFO/MainProcess] Connected to amqp://guest:**@broker:5672//
[2020-11-13 18:32:45,690: INFO/MainProcess] mingle: searching for neighbors
[2020-11-13 18:32:46,757: INFO/MainProcess] mingle: all alone
[2020-11-13 18:32:46,809: WARNING/MainProcess] /usr/local/lib/python3.8/site-packages/celery/fixups/django.py:205: UserWarning: Using settings.DEBUG leads to a memory
            leak, never use this setting in production environments!
  warnings.warn('''Using settings.DEBUG leads to a memory
[2020-11-13 18:32:46,812: INFO/MainProcess] celery@6ef45dc24859 ready.
[2020-11-13 18:32:46,815: INFO/MainProcess] Received task: core.tasks.every_10_sec[a630b0dd-1225-43b9-a328-9289c4e3fe8e]  
[2020-11-13 18:32:46,817: INFO/MainProcess] Received task: core.tasks.every_10_sec[daaca21f-a8fa-478e-94a4-e875c41cfb5a]  
[2020-11-13 18:32:46,818: INFO/MainProcess] Received task: core.tasks.every_10_sec[da8b8140-d9c8-499d-ae4e-0303c0547e85]  
[2020-11-13 18:32:46,820: INFO/MainProcess] Received task: core.tasks.every_30_sec[2237eb7e-18b3-4fef-9463-44f9214b129b]  
[2020-11-13 18:32:46,822: INFO/MainProcess] Received task: core.tasks.every_10_sec[1498f674-731d-4dfe-91fc-55b6f3b4ebee]  
[2020-11-13 18:32:46,824: INFO/MainProcess] Received task: core.tasks.every_10_sec[58c0b4bb-7055-493c-93a3-42c9cc220201]  
[2020-11-13 18:32:46,825: INFO/MainProcess] Received task: core.tasks.every_10_sec[28467441-2009-4f56-8da9-3757e8a0cfa4]  
[2020-11-13 18:32:46,827: INFO/MainProcess] Received task: core.tasks.every_30_sec[8b37fa9b-1fe5-417b-b976-5cc5feeda7a4]  
[2020-11-13 18:32:46,828: INFO/MainProcess] Received task: core.tasks.every_10_sec[16677725-7c33-4fef-93a7-654e5b3e924e]  
[2020-11-13 18:32:46,830: INFO/MainProcess] Received task: core.tasks.every_10_sec[019c5a0e-84ce-44c3-b2d0-373f91f094b1]  
[2020-11-13 18:32:46,831: INFO/MainProcess] Received task: core.tasks.every_10_sec[266c583b-3cdd-41c4-9282-0b16b67b8af0]  
[2020-11-13 18:32:46,833: INFO/MainProcess] Received task: core.tasks.every_30_sec[4ea50e3e-d588-4aed-8b3d-69275178275f]  
[2020-11-13 18:32:46,834: INFO/MainProcess] Received task: core.tasks.every_10_sec[57359503-a37a-4a89-88f7-5671fd320f3a]  
[2020-11-13 18:32:46,835: INFO/MainProcess] Received task: core.tasks.every_10_sec[378ce316-5a43-4c3a-b289-f2ead68a01e7]  
[2020-11-13 18:32:46,837: INFO/MainProcess] Received task: core.tasks.every_10_sec[980a2976-8f5c-4d66-9877-bbc197eef2f0]  
[2020-11-13 18:32:46,838: INFO/MainProcess] Received task: core.tasks.every_30_sec[0d0d955d-bae4-475f-ae03-3a32a7cbb4e9]  
[2020-11-13 18:32:46,942: INFO/ForkPoolWorker-2] core.tasks.every_10_sec[da8b8140-d9c8-499d-ae4e-0303c0547e85]: Run every 10sec methods
[2020-11-13 18:32:46,942: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[a630b0dd-1225-43b9-a328-9289c4e3fe8e]: Run every 10sec methods
[2020-11-13 18:32:46,943: INFO/ForkPoolWorker-2] core.tasks.every_10_sec[da8b8140-d9c8-499d-ae4e-0303c0547e85]: result: 135
[2020-11-13 18:32:46,945: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[a630b0dd-1225-43b9-a328-9289c4e3fe8e]: result: 115
[2020-11-13 18:32:46,946: INFO/MainProcess] Received task: core.tasks.every_10_sec[2b876215-e6b3-450f-87cf-246affa9003a]  
[2020-11-13 18:32:46,944: INFO/ForkPoolWorker-4] core.tasks.every_30_sec[2237eb7e-18b3-4fef-9463-44f9214b129b]: Run every 30sec methods
[2020-11-13 18:32:46,946: INFO/ForkPoolWorker-2] Task core.tasks.every_10_sec[da8b8140-d9c8-499d-ae4e-0303c0547e85] succeeded in 0.004801399999905698s: 135
[2020-11-13 18:32:46,944: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[daaca21f-a8fa-478e-94a4-e875c41cfb5a]: Run every 10sec methods
[2020-11-13 18:32:46,948: INFO/MainProcess] Received task: core.tasks.every_10_sec[a0c0a212-a4e1-43d8-a505-a42b605417d1]  
[2020-11-13 18:32:46,947: INFO/ForkPoolWorker-4] core.tasks.every_30_sec[2237eb7e-18b3-4fef-9463-44f9214b129b]: result: 167
[2020-11-13 18:32:46,947: INFO/ForkPoolWorker-1] Task core.tasks.every_10_sec[a630b0dd-1225-43b9-a328-9289c4e3fe8e] succeeded in 0.006083400000079564s: 115
[2020-11-13 18:32:46,948: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[daaca21f-a8fa-478e-94a4-e875c41cfb5a]: result: 128
[2020-11-13 18:32:46,950: INFO/MainProcess] Received task: core.tasks.every_10_sec[ce714f93-1b72-4f92-bd9d-dbd3ab752e54]  
[2020-11-13 18:32:46,950: INFO/ForkPoolWorker-3] Task core.tasks.every_10_sec[daaca21f-a8fa-478e-94a4-e875c41cfb5a] succeeded in 0.0077796000000489585s: 128
[2020-11-13 18:32:46,951: INFO/ForkPoolWorker-4] Task core.tasks.every_30_sec[2237eb7e-18b3-4fef-9463-44f9214b129b] succeeded in 0.008431000000200584s: 167
[2020-11-13 18:32:46,952: INFO/MainProcess] Received task: core.tasks.every_30_sec[8b50c18e-07ec-46bf-b9f6-b0678196ce00]  
[2020-11-13 18:32:46,955: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[58c0b4bb-7055-493c-93a3-42c9cc220201]: Run every 10sec methods
[2020-11-13 18:32:46,955: INFO/ForkPoolWorker-2] core.tasks.every_10_sec[28467441-2009-4f56-8da9-3757e8a0cfa4]: Run every 10sec methods
[2020-11-13 18:32:46,955: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[1498f674-731d-4dfe-91fc-55b6f3b4ebee]: Run every 10sec methods
[2020-11-13 18:32:46,956: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[58c0b4bb-7055-493c-93a3-42c9cc220201]: result: 174
[2020-11-13 18:32:46,956: INFO/ForkPoolWorker-4] core.tasks.every_30_sec[8b37fa9b-1fe5-417b-b976-5cc5feeda7a4]: Run every 30sec methods
[2020-11-13 18:32:46,956: INFO/ForkPoolWorker-2] core.tasks.every_10_sec[28467441-2009-4f56-8da9-3757e8a0cfa4]: result: 39
[2020-11-13 18:32:46,957: INFO/ForkPoolWorker-3] Task core.tasks.every_10_sec[58c0b4bb-7055-493c-93a3-42c9cc220201] succeeded in 0.002209300000231451s: 174
[2020-11-13 18:32:46,956: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[1498f674-731d-4dfe-91fc-55b6f3b4ebee]: result: 112
[2020-11-13 18:32:46,957: INFO/ForkPoolWorker-4] core.tasks.every_30_sec[8b37fa9b-1fe5-417b-b976-5cc5feeda7a4]: result: 54
[2020-11-13 18:32:46,957: INFO/ForkPoolWorker-2] Task core.tasks.every_10_sec[28467441-2009-4f56-8da9-3757e8a0cfa4] succeeded in 0.002750600000126724s: 39
